id	lemma	sense_id	left	word	right	senses
28	акция	1	госдолга Армении, который составляет $100 млн. (Армения готова расплачиваться с нами	акциями	своих предприятий.) Кроме того, Россию интересует возможность участия в приватизации энергораспределяющих сетей	1 - Ценная бумага, выпускаемая акционерным обществом; 2 - Действие, выступление кого-л., предпринимаемое для достижения какой-л. цели
29	акция	1	года. Допэмиссию акций завершили в начале сентября 2013 года, а приватизации 49%	акций	компании так и не состоялось, констатирует собеседник «Известий», знакомый с результатами проверки.	1 - Ценная бумага, выпускаемая акционерным обществом; 2 - Действие, выступление кого-л., предпринимаемое для достижения какой-л. цели
30	акция	1	последнее время размещений на Лондонской фондовой бирже, продолжает стимулировать интерес к своим	акциям	в России. Со вчерашнего дня его акции торгуются не только в РТС,	1 - Ценная бумага, выпускаемая акционерным обществом; 2 - Действие, выступление кого-л., предпринимаемое для достижения какой-л. цели
31	акция	1	«Tele2 Россия», после того как ВТБ продал 50% из принадлежащих ему 100%	акций	сотового оператора. Помимо «Северстали» в приобретении пакета акций участвовал также банк «Россия»	1 - Ценная бумага, выпускаемая акционерным обществом; 2 - Действие, выступление кого-л., предпринимаемое для достижения какой-л. цели
32	акция	1	другую брокерскую компанию с просьбой открыть короткую позицию объемом в 500 тыс.	акций	Apple, представившись местному брокеру сотрудником компании, к которой не имел никакого отношения.	1 - Ценная бумага, выпускаемая акционерным обществом; 2 - Действие, выступление кого-л., предпринимаемое для достижения какой-л. цели
33	акция	1	капитализации российского оператора, доля норвежцев в «ВымпелКоме» может увеличиться до 33,3%	акций	, а Altimo – до 35,3%. С подобной оценкой соглашается и Надежда Голубева	1 - Ценная бумага, выпускаемая акционерным обществом; 2 - Действие, выступление кого-л., предпринимаемое для достижения какой-л. цели
34	акция	1	платежи, но никаких переговоров с ФСК не ведет. Договоры на покупку пакетов	акций	ТГК-6 (23,58%) и ТГК-7 (32,14%) были подписаны КЭС-	1 - Ценная бумага, выпускаемая акционерным обществом; 2 - Действие, выступление кого-л., предпринимаемое для достижения какой-л. цели
35	акция	1	авто по миру. Госн стал генеральным директором компании Renault, которая владеет 44%	акций	Nissan, в 2005 году, сменив на этом посту Луиса Швейцера.Гендиректор Renault	1 - Ценная бумага, выпускаемая акционерным обществом; 2 - Действие, выступление кого-л., предпринимаемое для достижения какой-л. цели
36	акция	1	на базе активов Кузнецкого меткомбината, проданных на конкурсных торгах. Поэтому 100 процентов	акций	НкМК сразу же находилось в собственности группы. Первым из заводов «ЕвразХолдинга» решил	1 - Ценная бумага, выпускаемая акционерным обществом; 2 - Действие, выступление кого-л., предпринимаемое для достижения какой-л. цели
37	акция	1	«всё сделал и ведет себя корректно по отношению к потребителям и законодательству»,	акции	«Мечела» на Нью-йоркской бирже подорожали сразу на 7,7%. Впрочем, отношения «Мечела	1 - Ценная бумага, выпускаемая акционерным обществом; 2 - Действие, выступление кого-л., предпринимаемое для достижения какой-л. цели
38	акция	2	этого к варягам были отправлены послы за князем как третейским судьей. Важнейшей	акцией	призвания стало предоставление князю ежегодного дара, то есть жалования, и запрещение князю	1 - Ценная бумага, выпускаемая акционерным обществом; 2 - Действие, выступление кого-л., предпринимаемое для достижения какой-л. цели
39	акция	1	американской компании UGS, разработчика программного обеспечения. Одновременно Siemens планирует провести размещение части	акций	своего машиностроительного подразделения VDO. Эксперты считают, что Siemens старается компенсировать негативные эффекты	1 - Ценная бумага, выпускаемая акционерным обществом; 2 - Действие, выступление кого-л., предпринимаемое для достижения какой-л. цели
40	акция	1	в последние годы популярна среди российских компаний. В прошлом году первичное размещение	акций	на LSE принесло российским компаниям порядка 4,6 млрд долл. На основной	1 - Ценная бумага, выпускаемая акционерным обществом; 2 - Действие, выступление кого-л., предпринимаемое для достижения какой-л. цели
41	акция	1	составляет 14,8—15,05 долл. за GDR, что, впрочем, соответствует динамике	акций	компании и на внутреннем рынке», — заметил он. Таким образом, снижение бумаг за	1 - Ценная бумага, выпускаемая акционерным обществом; 2 - Действие, выступление кого-л., предпринимаемое для достижения какой-л. цели
42	акция	1	один день котировки «Мечела» обвалились более чем на 37%. Резкое падение цены	акций	стало, в свою очередь, поводом для ряда американских акционеров подать иск с	1 - Ценная бумага, выпускаемая акционерным обществом; 2 - Действие, выступление кого-л., предпринимаемое для достижения какой-л. цели
43	акция	1	и профессиональным портфельным инвесторам — ПИФам и хедж-фондам», — полагает эксперт. «Размещение допэмиссий	акций	генкомпаний преследует две цели: привлечение инвестиций и, что не менее важно, передачу	1 - Ценная бумага, выпускаемая акционерным обществом; 2 - Действие, выступление кого-л., предпринимаемое для достижения какой-л. цели
44	акция	1	«Дорогобуж» и около 1,2% акций «Апатита», а норвежцы — около 8,2%	акций	«Апатита». Говорилось, что СП создается для улучшения условий закупок российского сырья. Но	1 - Ценная бумага, выпускаемая акционерным обществом; 2 - Действие, выступление кого-л., предпринимаемое для достижения какой-л. цели
45	акция	1	Sony Pictures Television, завершившая в начале этого года сделку по приобретению 51%	акций	компании «Леан-М». До этого Sony Pictures Television, как и Fremantle Media	1 - Ценная бумага, выпускаемая акционерным обществом; 2 - Действие, выступление кого-л., предпринимаемое для достижения какой-л. цели
46	акция	1	усилить подразделение по работе с инвесторами, силами нашего IR удалось вернуть котировки	акций	практически к цене размещения. В глазах конкурентов выход на биржу стал очень	1 - Ценная бумага, выпускаемая акционерным обществом; 2 - Действие, выступление кого-л., предпринимаемое для достижения какой-л. цели
47	акция	1	этом заявил в четверг представитель Aircel. Как следует из проспекта первичного размещения	акций	АФК, запланированного на следующую неделю на Лондонской фондовой бирже, на эти цели	1 - Ценная бумага, выпускаемая акционерным обществом; 2 - Действие, выступление кого-л., предпринимаемое для достижения какой-л. цели
48	акция	1	предложила Deutsche Telekom продать за 3,2 млрд долл. 49-процентный пакет	акций	польского сотового оператора PTC, обслуживающего 10 млн абонентов. От дальнейших комментариев г-н	1 - Ценная бумага, выпускаемая акционерным обществом; 2 - Действие, выступление кого-л., предпринимаемое для достижения какой-л. цели
49	акция	1	"может понравиться ""приватизаторская"" деятельность банкира. Ведь не напрасно большая часть бывших государственных"	акций	оказалась на балансе оффшорных компаний, хозяева которых пока не названы. Поэтому очень	1 - Ценная бумага, выпускаемая акционерным обществом; 2 - Действие, выступление кого-л., предпринимаемое для достижения какой-л. цели
50	акция	2	, праздничные шествия. В Украине состоятся митинги, манифестации, маевки. Накануне праздника проходят благотворительные	акции	с оказанием материальной помощи многодетным и малоимущим семьям, пенсионерам, одиноким гражданам преклонного	1 - Ценная бумага, выпускаемая акционерным обществом; 2 - Действие, выступление кого-л., предпринимаемое для достижения какой-л. цели
51	акция	1	при своих акциях. Если же он промедлит и вообще никому не продаст	акции	, то в случае успеха «Колоссова» предприятия наш фигурант может остаться с носом,	1 - Ценная бумага, выпускаемая акционерным обществом; 2 - Действие, выступление кого-л., предпринимаемое для достижения какой-л. цели
52	акция	1	сделки акционеры Goldcorp станут владельцами 60% акций объединенной компании, а Glamis – 40%	акций	. Капитализация компании составит 21,3 млрд долл., что позволит Goldcorp обойти своего	1 - Ценная бумага, выпускаемая акционерным обществом; 2 - Действие, выступление кого-л., предпринимаемое для достижения какой-л. цели
53	акция	1	на госпакет «Апатита» всегда считался холдинг «Фосагро», который уже контролирует более 75%	акций	комбината. «Фосагро» уже предупредил потенциальных партнеров, что их ждет. «При приватизации	1 - Ценная бумага, выпускаемая акционерным обществом; 2 - Действие, выступление кого-л., предпринимаемое для достижения какой-л. цели
54	акция	1	сообщал «Новый Регион», Хозяйственный суд Киева вернул в государственную собственность более 90%	акций	Балаклавского рудоуправления, признав, что они «были противоправно отчуждены в пользу частной структуры»	1 - Ценная бумага, выпускаемая акционерным обществом; 2 - Действие, выступление кого-л., предпринимаемое для достижения какой-л. цели
55	акция	1	8%, а бумаги Дальсвязи подорожали на 4,4%. Вместе с тем банковские	акции	не повторяли тех достижений, что они демонстрировали на прошлой неделе. В итоге	1 - Ценная бумага, выпускаемая акционерным обществом; 2 - Действие, выступление кого-л., предпринимаемое для достижения какой-л. цели
56	акция	1	заводик в Самаре). С самыми крупными из акционеров (владеющими в совокупности 35%	акций	) поговорить корреспонденту «Эксперта» удалось лишь через посредников. В результате выяснилось, что продавать	1 - Ценная бумага, выпускаемая акционерным обществом; 2 - Действие, выступление кого-л., предпринимаемое для достижения какой-л. цели
57	акция	1	Усиченко, управляющий активами фонда «Максвелл Капитал». – С января по апрель котировки	акций	выросли с 566 до 785 пунктов по индексу РТС. Далее последовало обвальное	1 - Ценная бумага, выпускаемая акционерным обществом; 2 - Действие, выступление кого-л., предпринимаемое для достижения какой-л. цели
58	акция	1	первую очередь всех интересовало, насколько богаче стал клуб с покупкой половины его	акций	известным бизнесменом Олегом Дерипаской. Максим Ремчуков рассказал, что об этой сделке существует	1 - Ценная бумага, выпускаемая акционерным обществом; 2 - Действие, выступление кого-л., предпринимаемое для достижения какой-л. цели
59	акция	1	Красноперов. Алексей Языков согласен с такой оценкой торговой сети. Поэтому при покупке	акций	«Магнита» инвесторам во многом придется ориентироваться на других игроков рынка, уже вышедших	1 - Ценная бумага, выпускаемая акционерным обществом; 2 - Действие, выступление кого-л., предпринимаемое для достижения какой-л. цели
60	акция	1	присоединения к банку «Открытие» двух кредитных организаций — банка «Петровский» (по 25% его	акций	принадлежат НОМОС-банку и ФК «Открытие» и 50% — АСВ), а также инвестиционного	1 - Ценная бумага, выпускаемая акционерным обществом; 2 - Действие, выступление кого-л., предпринимаемое для достижения какой-л. цели
61	акция	1	на биржу. Площадка электронной торговли привлекла 390 млн руб., разместив на ММВБ	акции	на 10% уставного капитала. Капитализация достигла 3,9 млрд руб., цена размещения	1 - Ценная бумага, выпускаемая акционерным обществом; 2 - Действие, выступление кого-л., предпринимаемое для достижения какой-л. цели
62	акция	1	-show «Уралкалий» разместил в России и за рубежом еще 12,75% своих	акций	по цене 3,5 долл. за штуку и 17,5 долл.	1 - Ценная бумага, выпускаемая акционерным обществом; 2 - Действие, выступление кого-л., предпринимаемое для достижения какой-л. цели
63	акция	1	считают, что размещение «Магнита» пройдет вполне успешно, однако ждать ажиотажного спроса на	акции	компании все-таки не стоит. Розничная сеть «Магнит» до последнего времени принадлежала краснодарскому	1 - Ценная бумага, выпускаемая акционерным обществом; 2 - Действие, выступление кого-л., предпринимаемое для достижения какой-л. цели
64	акция	1	выглядит абсолютно непрозрачной: в госбанке отказываются комментировать основные параметры сделки. Проследить движение	акций	РТС в собственность Сбербанка можно на основе обязательного раскрытия информации. Согласно имеющейся	1 - Ценная бумага, выпускаемая акционерным обществом; 2 - Действие, выступление кого-л., предпринимаемое для достижения какой-л. цели
65	акция	1	решения антимонопольного ведомства ВСМПО и «Ависма» уже ведут себя как одна компания.	Акции	ВСМПО торгуются в РТС как «Корпорация ВСМПО-Ависма», а дивиденды обеих, по	1 - Ценная бумага, выпускаемая акционерным обществом; 2 - Действие, выступление кого-л., предпринимаемое для достижения какой-л. цели
66	акция	1	точными сведениями осенью. Напомним, что сначала ГК «Бородино» собиралась провести публичное размещение	акций	в начале 2006 г., потом сроки сдвинулись ближе к концу года. В	1 - Ценная бумага, выпускаемая акционерным обществом; 2 - Действие, выступление кого-л., предпринимаемое для достижения какой-л. цели
67	акция	1	"пакетов акций 11 крупных алкогольных предприятий, находившихся ранее во владении ФГУП ""Росспиртпром""."	Акции	были переданы кредитной организации в качестве погашения долгов ФГУП перед банком в	1 - Ценная бумага, выпускаемая акционерным обществом; 2 - Действие, выступление кого-л., предпринимаемое для достижения какой-л. цели
68	акция	2	по дорожной дисциплине родителей.  А вот водители остаются как бы безнад-зорными.	Акции	"""Осторожно, на дороге дети!"", которые сейчас проходят повсюду, вряд ли в корне"	1 - Ценная бумага, выпускаемая акционерным обществом; 2 - Действие, выступление кого-л., предпринимаемое для достижения какой-л. цели
69	акция	1	60% российского производства этого металла, входит в группу «Челябинский трубопрокатный завод» (ЧТПЗ).	Акции	ЧЦЗ торгуются на РТС. По данным на начало текущего года, 87,99%	1 - Ценная бумага, выпускаемая акционерным обществом; 2 - Действие, выступление кого-л., предпринимаемое для достижения какой-л. цели
70	акция	1	цены на бирже. Эксперты с пониманием отнеслись к вчерашнему падению цены на	акции	ВТБ, отметив ее юридическую обоснованность. В мае ВТБ разместил в России и	1 - Ценная бумага, выпускаемая акционерным обществом; 2 - Действие, выступление кого-л., предпринимаемое для достижения какой-л. цели
71	акция	1	Менеджмент». Стратегический финансовый партнер — Газпромбанк. В собственность создаваемого холдинга — «Атомэнергопром» — будут переданы	акции	31 акционерного общества, в том числе ведущих мировых ядерных компаний — ОАО «ТВЭЛ»	1 - Ценная бумага, выпускаемая акционерным обществом; 2 - Действие, выступление кого-л., предпринимаемое для достижения какой-л. цели
72	акция	1	в компаниях, которыми они руководят. В мае стало известно, что менее 5%	акций	«РЕСО-Гарантии» стоимостью до 60 млн долл. принадлежит президенту группы «РЕСО» Андрею	1 - Ценная бумага, выпускаемая акционерным обществом; 2 - Действие, выступление кого-л., предпринимаемое для достижения какой-л. цели
73	акция	1	неплохие темпы роста и высокая рентабельность». Все это, по мнению аналитика, делает	акции	компании привлекательными в глазах инвесторов. Однако, с другой стороны, считает г-жа Кнунянц,	1 - Ценная бумага, выпускаемая акционерным обществом; 2 - Действие, выступление кого-л., предпринимаемое для достижения какой-л. цели
74	акция	1	еще частную каунасскую авиакомпанию Aurela и ИТ-фирму Fima, стала обладателем 100%	акций	крупнейшего литовского авиаперевозчика Lietuvos avialinijos. По условиям конкурса покупатели в течение двух	1 - Ценная бумага, выпускаемая акционерным обществом; 2 - Действие, выступление кого-л., предпринимаемое для достижения какой-л. цели
75	акция	1	Предельно оптимистическая оценка всего банка — $73 млн (один капитал), соответственно цена 10%	акций	банка — $7,3 млн, — говорит Осадчий. — Даже Сбербанк оценивается сейчас всего	1 - Ценная бумага, выпускаемая акционерным обществом; 2 - Действие, выступление кого-л., предпринимаемое для достижения какой-л. цели
76	акция	1	в 5 миллиардов рублей. Как отмечалось в сообщении, ВТБ стал владельцем 51%	акций	"ОАО ""Московский завод ""Кристалл"", ОАО ""Астраханский ликероводочный завод"", смоленского акционерного общества производителей"	1 - Ценная бумага, выпускаемая акционерным обществом; 2 - Действие, выступление кого-л., предпринимаемое для достижения какой-л. цели
77	акция	2	, пожилые - у нас много категорий граждан, которым сложно преодолевать препятствия. И эта	акция	побуждает общество проникнуться их проблемами. В добрый путь!	1 - Ценная бумага, выпускаемая акционерным обществом; 2 - Действие, выступление кого-л., предпринимаемое для достижения какой-л. цели
78	акция	1	сотовом операторе – ОАО «ВымпелКом» – российский консорциум и норвежский Telenor, контролирующий 26,6%	акций	сотовой компании, уже долгое время не могут прийти к компромиссу по поводу	1 - Ценная бумага, выпускаемая акционерным обществом; 2 - Действие, выступление кого-л., предпринимаемое для достижения какой-л. цели
