INPUT:id	INPUT:left	INPUT:lemma	INPUT:right	INPUT:senses	INPUT:word	OUTPUT:sense_id	CONFIDENCE:sense_id	OUTPUT:activity	GOLDEN:sense_id	
2102	Платить все равно придется Возвратившись из отпуска, вы останетесь с потрясающими воспоминаниями,	стопка	фотографий, бронзовым загаром и неоплаченным пока счетом за кредит. Поэтому, решаясь на		стопками	1	99.99%			
982	читал и после него до 10 1/4, а затем поиграл в	домино	. 2-го июля. Вторник.		домино	2	99.99%			
902	строку, избегая знаков препинания, и выбирай слова случайным образом, мысленно бросая кости	домино	. Тогда, если половинки костей совпадают, слово принимается и выписывается на отдельном листе.		домино	2	99.99%			
1621	лошадей и застенчиво подавали хозяину повод, иногда даже они похлопывали коня по	круп	, выражая этим, может быть, и ласку к привычному живому существу. * Сажа -- хлев		крупу	1	99.99%			
1854	верят в него. Но бывают такие судьбы, когда не увидеть страшной власти	рок	просто невозможно. «Труд-7» рассказывает истории людей, которым удалось спастись в самых		рока	1	99.99%			
1417	пытаясь привести их в чувство. Отчасти ему это удалось -- худой блондин с	кок	что-то запричитал и стал раскачиваться, как на молитве. Бритый толстяк принялся было		коком	1	99.99%			
2466	, верную и скорую подпору. То, что сделано во дворце нового при нынешнем	шах	, очень просто, даже бедно; -- говорят, что таков вкус его; вернее однако же,		Шахе	1	99.97%			
86	Михаила Кочергина получило еще большую огласку. «Mail.Ru Group публичная компания, ее	акция	торгуются на бирже, в целом странно, что на заседание экспертного совета ее		акции	1	99.99%			
267	, и теперь у пьяного прапора просто так ствол не купишь. Это все	байка	. Одним словом, спрос есть, стволов море, ждем последствий. - Что делать? - Первое:		байки	2	99.99%			
120	» в строительство были инвестированы частные средства. Сам Ипатов, по его словам, владеет	акция	«как член трудового коллектива». Впоследствии этим фактом озаботились Госатомнадзор и Генеральная прокуратура		акциями	1	99.99%			
2275	и подошел к свечке. Тараканы, торопливо семеня ножками, перебежали на другую сторону	таз	. Это заняло Голована на время, потом он стал прислушиваться к шуму дождя.		таза	1	99.99%			
1075	радостно было, когда он хвалил! О, я помню, мы сидим в артистическом	кабачок	, пьем вино и едим раков, и он за что-то хвалит меня, а		кабачке	1	99.99%			
2063	отчетов». В начале января Баклаков выбросил в мусорную корзину заготовленные наброски глав.	стопка	сложил полевые книжки. Требовалось начать все с начала. Складывая книжки, он быстро		Стопкой	0	99.00%			
1201	, что легковые машины с трудом двигались. Мутной жижи было железным коням по	капот	. - Трасса эта принадлежит федеральному агентству «Автодор» и когда ее сотрудники ремонтировал магистраль		капот	1	99.99%			
2122	, а кто-то опасается попасть под сокращение. В результате на стол начальника ложится	стопка	больничных листов.  Если не убедите шефа, что действительно болеете и не можете		стопка	1	93.59%			
876	с наружностью отставного унтера, в черном сюртуке -- дядю императора, окруженного всегда разноцветными	домино	. Тут же прохаживался с маской под руку и тогдашний первый министр Бейст,		домино	1	99.99%			
369	в синих и рыжих госпитальных халатах, спешно побрившиеся и одуряюще пахнущие кто «	гвоздика	», кто «Ландышем», кто «Душистым горошком», курили возле открытой двери ординаторской привезенный Верой		Гвоздикою	1	99.78%			
852	удается самостоятельно подняться по той дороге, по которой он спускался по леднику:	гусеница	проскальзывают. 05.01.03. Второй бульдозер, японский Komatsu, добрался до ледника. Со слов		гусеницы	2	99.99%			
1164	под кабиной двигатель? Как защитить водителя от дизельного шума и запаха? Откидной	капот	внутри кабины не решает этих задач. Обслуживать двигатель в тесной и темной		капот	1	99.99%			
2010	некрасивый... -- Ах! Ты не про то! -- закричал Лихонин и опять высоким	слог	начал говорить ей о равноправии женщин, о святости труда, о человеческой справедливости		слогом	2	99.99%			
1809	неба, и не задавай простым людям таких вопросов. -- Мы скажем тебе одно.	мандарин	говорят тебе другое. Почем ты будешь знать, кто говорит правду? -- добавил второй		Мандарины	2	99.98%			
250	дед Щукарь с изысканным мышлением и живописно-интеллигентной речью. Но и без	байка	-- Гердт не Гердт. Точнее, без притчей, ибо в каждой забавной истории о		баек	2	99.99%			
1144	, военный, хозяйственный; выделили сразу старшине жилье, поставили сразу бригадиром, завел он огород,	кабачок	, кур, -- наладился к гражданской жизни... Через год, на день Победы, 9 Мая,		кабачки	3	99.85%			
1833	41 года», следом за ним -- повесть «Карпухин». Но повесть эту преследовал какой-то	рок	. Попросили у меня главу, напечатать в газете. Прочли, понюхали -- нельзя: идет очередная		рок	1	99.99%			
964	разного цвета. Всегда ли можно покрыть доску с двумя «дырками» 31 костью	домино	? Ответ: всегда. Чтобы доказать это, проведём на доске замкнутую линию. Если вырезаны		домино	2	99.75%			
2470	мог передохнуть от татарских молний? Тогда все признали, что будет наилучшим, если	шах	сядет в лодку и найдет себе убежище на одном из островов Абескунского		шах	1	99.99%			
1128	, 100 г помидоров, 1 вареное яйцо, зелень петрушки, 100 г сметаны. Порежьте	кабачок	и огурцы тонкой соломкой, заправьте сметаной. Сверху украсьте дольками помидора, рубленым яйцом,		кабачки	3	99.77%			
975	чай. В 7 час. обедали внизу и затем начался бал. Поиграл в	домино	. В 12 1/2 танцы кончились и мы ушли к себе наверх.		домино	2	99.99%			
1746	семестрах первых курсов. В Челябинской области «завернули» в Казахстан груз яблок и	мандарин	. Как сообщили «Новому Региону» в пресс-службе Россельхознадзора, при проведении контроля на пункте		мандарин	1	99.99%			
2200	и дальше будет? -- спросила она, поджав губы и притворно внимательно глядя в	таз	с вареньем. -- Как дальше? -- спросил Санин и чихнул. Марье Ивановне показалось,		таз	1	99.99%			
2164	. Потом он выпил с офицерами, потом с Богословским, который пил стопку за	стопка	с явным желанием напиться. И не мог! Было уже поздно, когда к		стопкой	2	99.99%			
1963	бешено неслась по дороге. «Ты можешь закрыть свой рот?» - медленно, по	слог	спросил мой похититель. «Могу, - согласилась я. - Но зачем вы меня пугаете?		слогам	1	99.74%			
2196	он принес распластанную камбалу, в графинчике -- водка и замороженные, сразу заиндевевшие, толстостенные	стопка	. -- Я тебе налью чуть-чуть? -- Теn droрs. Десять капель. Я налил ей,		стопки	2	99.99%			
1097	говорит она. - Пытался со мной заговорить. Когда я стала укладывать мешок с	кабачок	на багажник велосипеда, он подошел и стал помогать. Спросил, сколько мне лет,		кабачками	3	99.97%			
1887	), смена составов и эксперименты со стилем. Точнее, эксперименты внутри стиля — проверенного поп-	рок	. «Старый приятель» многие ошибочно причисляют к ретро, но с группами вроде «Секрета		рока	2	99.96%			
1656	в темно-голубой бездне мерцали серебряные огоньки. Лошадь, кивая большой головой, равномерно работая	круп	, шагала среди трав. Молча, очарованные и подавленные огромным, как мир, пустым небом,		крупом	1	99.92%			
2479	о военной силе Персии, то лучше всего взять за меру последний поход	шах	под Герат в Авганистан (в 1837-м году). Приготовления к этому походу		Шаха	1	99.98%			
610	""", чьим центром станет Тула. Головное предприятие - ГНПП ""Сплав"", всего же в выпуске """	град	""", ""Ураганов"" и ""Смерчей"", теперь уже под одной крышей, будет задействовано около двадцати"		Градов	1	99.83%			
626	превращается в тонны переписки. Напишем в одну сторону, год ждем ответ... - под	град	упреков Медведева чиновники и бизнесмены опустили головы, чтобы спрятать глаза. Первый вице-премьер		градом	2	99.99%			
1951	сложно. - И еще вопрос. Сейчас их в садике уже учат читать по	слог	. Ему не особо это нравится. А математику он очень любит, хорошо считает		слогам	1	99.99%			
2016	тем резче речь. «Сцена тени в «Гамлете» вся написана шутливо, даже низким	слог	, но волос становится дыбом от гамлетовских шуток», -- сказал Пушкин. Поэзия роли Гамлета		слогом	2	99.86%			
1823	наши совершенно бесполезны, -- кто, в самом деле, надеется, даже проникнув в замысел	рок	, хоть в чем-то его изменить. Так что любопытство наше сродни дерзанию Одиссея,		рока	1	99.99%			
465	законы развития неумолимы: мы вступаем в «век полимеров». И это не литературная	гипербола	. От 19 до 21 миллиона тонн синтетических смол и пластмасс -- такова будет		гипербола	1	99.99%			
1954	и носить, и не носить ударение; в размерах, где стопа имеет три	слог	, следует особенно избегать таких слов).		слога	1	99.99%			
1230	должен делать только один качок, и без всяких стуков. Напоследок заглянем под	капот	. Если двигатель вымыт, то, возможно, хозяин пытался скрыть следы потеков. Если какая-нибудь		капот	1	99.99%			
646	ея и, беседуя, рекл к ней: «Достойна ты царствовать с нами во	град	сем». Она же, уразумевши его желание, отвещала царю: «Я есмь не христианка		граде	3	99.94%			
604	Нет ни в чем удачи. То -- скосило	град	, То -- сняло пожаром... Чист кругом и легок, Никому не нужен... Плохо Лихачу		градом	1	99.97%			
2281	и дайте немного теплого чая. Вызовите «Скорую помощь». Рвотные массы собирайте в	таз	. Это нужно для исследования содержимого желудка. После первой рвоты обязательно восполните потерю		таз	1	99.99%			
673	Победитель прниде и хочет отмститн, Царствующий оный град ныне освободит». О Константине	град	! Зело веселися! И святая София церква -- просветися! Православный родися ныне нам царевич,		граде	3	99.99%			
236	совершенно обрусевший: он не любил говорить о себе, приберегал для интервью десяток	байка	"и неизменно их повторял практически наизусть"", - рассказала ""Огоньку"" супруга поэта Ольга Окуджава ("		баек	2	99.99%			
1044	, в негритянских кварталах, в портовых публичных домах, на похоронах и свадьбах, в	кабачок	и дешевых дансингах, уже к 60-м годам достиг высот филармонического искусства,		кабачках	1	99.99%			
384	: вспомнили парту напротив дымящегося спортзала в Беслане. Под этой партой валялись раздавленные	гвоздика	и школьный фартук в крови. Мы поднялись к директору Марьят Картуевой. Нас		гвоздики	1	69.27%			
1323	2,6 секунды – финн Нусийанен. Капитан нашей команды берет с места в	карьер	: 2,4 км за спиной, а он уже впереди с отрывом от		карьер	1	96.14%			
96	на 40—45%, а возможно, и на 82—89% относительно текущей цены	акция	. Между тем аналитики ИГ «Атон» прогнозируют, что цена акций Imperial возрастет почти		акций	1	99.99%			
1240	. Удар пришелся правой передней частью автомобиля, после чего машину с ребенком на	капот	отбросило на движущуюся иномарку «Хундай». Мальчик получил травмы, несовместимые с жизнью. По		капоте	1	99.99%			
456	своем ярком и свежем исполнения роли слесарши достигает замечательного сочетания чисто гоголевской	гипербола	с полнейшей реалистической достоверностью образа. Она доносит до зрителя отголосок народных мещанских		гиперболы	1	99.85%			
1396	понял, почему он то появляется, то исчезает -- недалеко от деревни был старинный	карьер	, где в эпоху Древних Фильмов что-то добывали. Сейчас он оплыл и зарос		карьер	2	99.98%			
1526	особое значение в садовых композициях: игрой света и тени под сенью их	крона	, трепетом нежной		крон	1	99.94%			
1228	2008 году. Пришло время сделать «подтяжки». Теперь спереди «Сплэш» получил слегка закругленный	капот	и увеличенную    решетку радиатора, а также обзавелся новой стильной отделкой заднего    бампера.		капот	1	99.99%			
112	% акций ТГК-6 и 37,5% — ТГК-7. С момента покупки стоимость	акция	обеих компаний существенно снизилась (более чем на 50%), и выкупать их по		акций	1	99.99%			
1277	Шесть часов... Вы велели разбудить вас! -- говорила она ласковым шепотом, запахивая ворот	капот	, из-под которого виднелась чистая сорочка. Заречный закрыл глаза, будто собираясь заснуть. -- Вставайте		капота	2	99.94%			
2483	от власти демократически избранное правительство Мохаммеда Моссадека, и вместо него навязана диктатура	шах	Мохаммеда Реза Пехлеви. На протяжении двадцати шести лет шах безотказно обслуживал энергетические		шаха	1	99.99%			
1289	""" И вот через три месяца святое сокровище ходит в затрёпанном"	капот	, туфли на босу ногу , волосёнки жиденькие , нечесаные , в папильотках , с денщиками собачится ,		капоте	2	99.99%			
2193	истинного происхождения Санта-Клауса или Бабы-Яги. Филипп вскинул бровь, поморщившись после новой	стопка	, и без энтузиазма ответил: «Ты же знаешь все прекрасно. Погибла в автокатастрофе»		стопки	2	99.99%			
624	неустойчиво лежащий на уступе, тот, падая, в свою очередь сбивает третий... целый	град	камней обрушивается вниз. Падение камней вызывают не только атмосферные явления. Птицы, животные		град	2	99.99%			
792	-- с пистолетом в вытянутых руках, что-то упало прямо за шиворот: то ли	гусеница	, то ли сучок какой, то ли пролетавшая по лесу птичка метко нагадила.		гусеница	1	99.99%			
378	, фиолетовым барвинком, ночной фиалкой, красным и розовым шиповником и садовыми розами, розовой	гвоздика	, синими колокольчиками и садовыми голубками. При этом пестрые цветы окрашиваются с сохранением		гвоздикой	1	99.93%			
1418	от нее, как ветви...» Он натянул парик, гребенкой легко взбил на нем	кок	, ладонью придавил его. Приклеил височки, под ними бачки. Надел серый мундир, стал		кок	1	99.99%			
926	аукнуться    мировой экономике двояко. С одной стороны, это может привести к эффекту    «	домино	» в странах еврозоны и еще более серьезной второй волне кризиса во    всем		домино	2	99.51%			
1318	за обиду, нанесенную ей. По «студебеккер», сыто заурчав, рванулся с места в	карьер	-взводного вдавило в спинку сиденья. Люсю отбросило назад, заволокло дымом выхлопов -- она		карьер	1	98.61%			
1361	бы каждый долго думал, прежде чем пачкать мою территорию! Александр МЕШКОВ. Лыткаринский	карьер	- песочка пример... Пятнадцать рублей на проезд. Сорок минут в душном автобусе, и		карьер	2	99.99%			
1712	сеточкой с мандаринами, которую держала в руке. Три или четыре красных турецких	мандарин	были очень яркими под солнцем. Я наблюдал за ее походкой. Давно уже		мандарина	1	99.99%			
2064	коня без всадника, лежащий на прежнем месте, и на не тронутую пером	стопка	писчей бумаги. Сделав нужные распоряжения, директор Пушкинского кабинета вернулся к стопке бумаги.		стопку	0	99.63%			
2119	Павел Лысенков про знаменитый черный башмак «Трактора». Который целую неделю пролежал на	стопка	программок в пресс-центре. Не то, что убрать, прикасаться к нему боялись! Потому		стопке	1	99.99%			
1899	ноября, ArenaMoscow, 19.00 Maroon 5 (США) Одна из самых оригинальных альтернативных поп-	рок	групп 2000-х. Лос-анджелесские музыканты впервые приезжают в Москву — концерт состоится в		рок	2	99.85%			
1345	мотомехчасти противника силою до двух дивизий заняли передовыми частями Елизаветовка, Екатериновка, Еленовский	карьер	, Васильевка (юго-западнее Б. Каракуба), имея главные силы в районе Волноваха, Ст. Карань.		Карьер	2	98.79%			
1209	машин получила повреждения заднего стекла, крыла и багажника, другая – левого крыла и	капот	. 67-я годовщина освобождения Крыма от гитлеровцев Сегодня, в день освобождения крымской		капота	1	99.99%			
2543	неуязвим. Генерал,однако, был непреклонен. «Запомните мои слова, – торжественно сказал он, – падение	шах	будет только началом. Это будет лишь первая демонстрация того, куда идет мусульманский		шаха	1	99.99%			
1019	, да потемки... Только и удовольствия было -- пойдешь в праздник к «Трем святителям» (	кабачок	у нас здесь прозывается) аль с женой пальбу заведешь. Даже, бывало, соседи		кабачок	1	99.98%			
162	ТV приглашает всех читателей «КП»! Если у вас в запасе есть солдатские	байка	, присылайте их по адресу «КП» с пометкой: «Сериал «Солдаты». Автор самых смешных		байки	2	99.99%			
1659	серое глинистое поле, длинные ряды солдатских спин, мокрых, забрызганных комьями грязи лошадиных	круп	, далеко впереди поднятую шашку командира полка и понял, что так будет всегда.		крупов	1	99.99%			
1702	"и ""молочки"" в сопровождении фитосанитарных сертификатов. В первую очередь речь, конечно, о"	мандарин	. Но не только. В Россию вернутся абхазские хурма, фейхоа, а также мягкие		мандаринах	1	99.91%			
1282	, должен я, бывало, просить ее убавить ходу, когда в шестьдесят лет, в	капот	розе, в соломенной шляпке с розанами, скорее бежала, чем шла она со		капоте	2	99.99%			
2077	потрясения и счастья . Тетрадь , исковерканная огнём , лежала перед нею , а рядом возвышалась	стопка	нетронутых тетрадей . Домик молчал .		стопка	1	99.99%			
611	Паннонии. Там Господь явил им чудо, чтобы одумались. Из чистого неба пошёл	град	... А-а, это я тебе уже рассказывал, про Золотую Бабу-то... В		град	1	99.92%			
1791	поведение жителей крупных российских городов. Больше всего россияне раскошелились на шампанское и	мандарин	– рост трат составил соответственно 759% и 701% к показателям месячной давности. На		мандарины	1	99.99%			
29	года. Допэмиссию акций завершили в начале сентября 2013 года, а приватизации 49%	акция	компании так и не состоялось, констатирует собеседник «Известий», знакомый с результатами проверки.		акций	1	99.92%			
1184	более двух минут: одна на двигатель и одна на коробку. Импотент под	капот	Аккумулятор - это основа нормальной жизни в сильные морозы. Как правило, мы узнаем		капотом	1	99.99%			
1583	Foods). Оборот компании в 2005-2006 финансовом году составил 700 млн шведских	крона	(около 88 млн долл.), из которых около 10% пришлось на Россию и		крон	2	99.99%			
1913	первое, что придет в голову. Испытуемые обычно не воспроизводили второго из парных	слог	. Требовалась специальная инструкция, т.е. нужно было создать специальную установку, чтобы это		слогов	1	99.99%			
2103	с девятью точками, которые возможно соединить четырьмя прямыми линиями. Находит Ямбо и	стопка	книжек, так или иначе связанных с периодом Муссолини. Тут толстый фолиант Эко		стопки	1	99.99%			
195	Трем китам». ...Но было бы лучше, если бы красивая байка оказалась лишь	байка	. Потому что про страну, в которой президент должен лично обездвиживать первого зама		байкой	2	99.99%			
1615	ли, и улыбнулся: -- За гриву держись, головастик! Ударил ножнами шашки по потному	круп	коня, Тесленко под вислые усы сунул пальцы, свистнул пронзительным разбойничьим посвистом. Долго		крупу	1	99.99%			
238	. Они -- типа анекдотов школьников: «Как-то пошел Пушкин купаться с Лермонтовым...» Две из	байка	придуманы о моей персоне. Андрей Георгиевич Битов, устав опровергать довлатовскую уморительную байку,		баек	2	99.99%			
1989	доброму, полезному. Бюффон справедливо сказал, и Карамзин повторил: что человек изображается в	слог	своем. Правильность, нежность, простота, занимательность слога Карамзина были отпечатками его характера. Различие		слоге	2	99.99%			
572	вещью, вроде «Облака в штанах» для того времени. Ограничение отвлеченных поэтических приемов (	гипербола	, виньеточного самоценного образа) и изобретение приемов для обработки хроникального и агитационного материала.		гиперболы	1	99.99%			
1605	Овальный	круп	и крутые бока . Опытная камер-фрау Баранова так определяла состояние и служение фрейлин		круп	1	99.99%			
805	укор в глазах погибших их товарищей, однополчан, оставшихся лежать размятыми, размолотыми танковыми	гусеница	под Конотопом, Нахапетовкой, Борисполем… видение, которое уже, наверное, до самой смерти не		гусеницами	2	99.99%			
1474	Нами изучены таксационные показатели кедра сибирского, такие как высота, диаметры ствола и	крона	, протяженность, объем и фитомасса кроны с учетом ее вертикально-фракционного распределения в		кроны	1	99.99%			
2286	сухое. На теле по-прежнему никаких следов травмы. Но боль в области живота,	таз	, ног утихает ненадолго. Через полчаса Филу снова становится хуже, и мы понимаем,		таза	2	99.52%			
856	, но пламя не сбивалось. Взрыв. Сталкивались, перегораживали дорогу, съезжали в канаву, взбивали	гусеница	и колесами грязь, погружаясь в нее все глубже, уходили под проломившийся лед,		гусеницами	2	99.99%			
707	Н. Ф. Федоров, ч. I. [М., 1908.] 92 Ср. мои «Два	град	», предисловие. 93 Вот как изображается происхождение мирового и исторического процесса у Шеллинга: «		града	3	99.89%			
849	, и в ответ на этот сигнал возник в балке рокот мотора, скрипнули	гусеница	, и черным проявившимся пятном тихо выползла к двум обгорелым бронетранспортерам гусеничная машина,		гусеницы	2	99.99%			
2372	, солдат или курсант училища дает    взводному или ротному взятку по строго означенной	такса	. Еще сильнее    разъедают офицерскую честь «рыночные отношения»: контракты, тендеры,    аукционы, аутсорсинги. Они		таксе	1	99.99%			
2269	районы и выпускает у берега.-- Петенька возбужденно сел.-- Черепаху можно держать в	таз	, в ванне -- ничего сложного! Надо только дважды в день менять воду, давать		тазу	1	99.99%			
1531	желтые в течение всего года. Цветки белые. «Blazeaway» -- высота 35 см, диаметр	крона	60 см. Крона широкоокруглая. Ветви широковосходящие. Листья золотистые летом, бронзовеющие зимой. Цветки		кроны	1	99.99%			
2154	поднял стопку и весело воскликнул : -- Э , хозяин , хозяин ! Что ж ты за	стопка	не смотришь ? Ведь вот все пустые . Ну-ка давай по последней . Слов		стопками	2	99.99%			
2518	минута, и... Грибоедов встал и поклонился глубоко и быстро. Все зашевелились. К	шах	подходили уже, брали его под руки, выводили. Его величеству было дурно. В		шаху	1	99.99%			
1218	Под	капот	автомобиля были обнаружены газовый пистолет «МР 79-9ТМ» с четырьмя патронами и		капотом	1	99.98%			
1692	, за счет чего цены взлетели. Не знает Мария Александровна, что апельсинами и	мандарин	, которые она постоянно покупала в одном и том же лотке, торговал гражданин		мандаринами	1	99.99%			
2311	автомобилист сбил двух инвалидов, передвигавшихся по городу на колясках. Пострадавшие получили переломы	таз	и ног, сообщает пресс-служба главного управления ГАИ Украины в Крыму. Авария произошла		таза	2	99.99%			
1152	возражал, но заметил, что движок у «доджа» великоват, и, пожалуй, под «виллисов»	капот	не влезет, придется специальный кожух наращивать, а это же горб -- и оба		капот	1	99.98%			
734	ласточек, почему рыба хранит своих мальков во рту, где находятся уши у	гусеница	и как пчела находит дорогу к своему улью. Ничего этого Новожилов, конечно,		гусеницы	1	99.99%			
491	, 2004.12.29 15:38. это	гипербола	... есть такое направление в литературе :) Думаю, в жизни никому не придет в		гипербола	1	99.99%			
210	пишет сценарии, монтирует, снимает и снимается. Острослов и балагур, он знает множество	байка	, анекдотов и хохм, может рассказывать их часами - была бы только благодарная паства.		баек	2	99.99%			
1214	вместе с ним, неузнанное. Письмо двадцать шестое О маске, аккумуляторных моторах, длине	капот	мотора «испана-суиза», вообще о двигателях внутреннего сгорания и о том, что		капота	1	99.99%			
1096	, позже я узнала, что это были сын и муж Ангелины. Они принесли	кабачок	, яблоки. Я еще поинтересовалась у Иды Рувимовны, кто это, а она ответили: «		кабачки	3	99.95%			
1568	облигации и займы в иностранной валюте, например в австралийском долларе или норвежской	крона	. Для инвесторов, склонных к риску, альтернативой являются акции с хорошим дивидендом. Риска		кроне	2	99.99%			
